year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,id,kind,etag,view_count,like_count,dislike_count,favorite_count,comment_count,published_at,title,description,thumbnail,channel_title,category_id,index,sentiment_type,sentiment_score
2010,Hynudai,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/,https://www.youtube.com/watch?v=dWQqIeAYfK8,False,True,True,False,False,False,False,dWQqIeAYfK8,youtube#video,Cr_aDDEGFI5hUkiLyyvlzeHdbZA,68458.0,46.0,14.0,0.0,8.0,2010-02-04T19:28:02Z,[HD] 2010 Super Bowl Commercial | New Hyundai Super Bowl 44 XLIV Ad | Hyundai Body Pass 2011 Sonata,"Hyundai is the biggest spender in the 2010 Super Bowl 44 XLIV game!  One might think that each Hyundai Sonata was made by hand and gently carried out of the factory. Hyundai outspent other advertisers, such as Pepsi, GoDaddy, Doritos, Coca-Cola, Monster, CareerBuilder, E-Trade, and many more! This commercial is sure to become a Super Bowl classic!

WATCH THIS VIDEO IN HD 720p RESOLUTION!!!

For more Hyundai Super Bowl commercials, please visit http://www.HyundaiSuperBowl.com.

For more information on Hyundai models, such as the Hyundai Sonata, Hyundai Tucson, Hyundai Genesis, and more, please visit http://www.worldhyundaimtteson.com.

http://www.worldhyundaimatteson.com
http://www.facebook.com/worldhyundai
http://www.twitter.com/worldhyundaiusa
http://www.worldhyundaiblog.com
http://www.hyundaisuperbowl.com

World Hyundai Matteson is Chicago's leading dealer of new and used Hyundais. World Hyundai has continued to exceed Hyundai USA's expectations in new vehicle sales. Our personnel are trained tirelessly in our philosophy as well as the Hyundai product itself. World Hyundai Matteson serves customers from all across Illinois and Indiana, including Chicago, Joliet, Tinley Park, Orland Park, Calumet City, Schaumburg, Countryside, Aurora, Naperville, Bourbonnais, Kankakee, Merrillville IN, and Highland IN.

World Hyundai Matteson
5337 Miller Circle
Matteson, IL 60443
(866) 583-9211
sales@worldhyundaimatteson.com

Visit our World Hyundai Community Page on NING!
http://www.myworldhyundai.com",,World Hyundai Matteson,24.0,10,compound,0.98
2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=agISXMN4tng,True,False,False,False,True,False,True,agISXMN4tng,youtube#video,VyZVw9QGnZAYlFVuJ-_c5anHnMc,3805.0,9.0,0.0,0.0,1.0,2010-02-08T04:17:09Z,[HD] Exclusive Bud Light Scientist 2010 SuperBowl 44 XLIV Commercial Ad,"[HD] Exclusive Bud Light Scientist 2010 SuperBowl 44 XLIV Commercial Ad Not too Heavy, Not too Light, alway Refreshing.

http://www.youtube.com/subscription_center?add_user=AllTimeBestVids
http://www.youtube.com/subscription_center?add_user=2010SuperBowlXLIV",,2010SuperBowlXLIV,24.0,11,compound,0.2168
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,https://www.youtube.com/watch?v=7KHlMJE84eA,True,True,False,False,False,True,True,7KHlMJE84eA,youtube#video,CiUp57A5ZZYys09JzQhgHRZQ-ws,184689.0,133.0,24.0,0.0,13.0,2007-02-05T03:16:09Z,"2007 Super Bowl Commercials - Budweiser, King Crab","2007 Super Bowl Commercials - Budweiser, King Crab
NFL Ad",,viralstuff,24.0,12,compound,0.5994
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,https://www.youtube.com/watch?v=1MZUvib98Rs,False,True,True,False,False,True,False,1MZUvib98Rs,youtube#video,GrUZweFfTUENdtc0G6y7Xl0pQcg,121400.0,642.0,10.0,0.0,50.0,2014-09-11T08:13:48Z,"Budweiser - Respect (2002, USA)","A controversial tribute to the victims of the 9/11 attacks by the Budweiser Clydesdales and Zack Snyder, who would years later vaporize a section of New York and send Superman crashing into buildings on purpose. This commercial only aired once at the Super Bowl, with a digitally modernized version released in 2011. A Believe Media production.",https://i.ytimg.com/vi/1MZUvib98Rs/sddefault.jpg,The Hall of Advertising,24.0,13,compound,-0.2732
2020,NFL,https://superbowl-ads.com/2020-nfl-next-100/,https://www.youtube.com/watch?v=lbkafMhmvMo,False,False,True,True,False,False,False,lbkafMhmvMo,youtube#video,GJ7PT7v2TCLH_na-2HG7nYXBEMI,26727063.0,175429.0,7445.0,0.0,8441.0,2020-02-03T00:21:31Z,NEXT 100  || NFL Super Bowl LIV Commercial,"A kick return 100 years in the making. Here’s to the next 100 and the game’s future stars! #NFLNext100 #SBLIV 

Subscribe to NFL: http://j.mp/1L0bVBu

Check out our other channels:
NFL Vault http://www.youtube.com/nflvault
NFL Network http://www.youtube.com/nflnetwork
NFL Films http://www.youtube.com/nflfilms
NFL Rush http://www.youtube.com/nflrush
NFL Play Football https://www.youtube.com/playfootball
NFL Podcasts https://www.youtube.com/nflpodcasts

#NFL #Football #AmericanFootball",https://i.ytimg.com/vi/lbkafMhmvMo/sddefault.jpg,NFL,17.0,14,compound,0.4003
2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/,https://www.youtube.com/watch?v=9csH_Hy-7A4,False,True,False,False,False,False,False,9csH_Hy-7A4,youtube#video,5ltssVIMP6r7pVEj0cGEGs3f4KE,865781.0,2315.0,130.0,0.0,162.0,2017-02-03T15:08:17Z,Super Bowl Baby Legends | Who’s Next? | Football is Family,"Past Super Bowl legends inspired the making of Super Bowl Babies. Who will be the inspiration this year? #SuperBowlBabies #SBLI
 
Music: Chicago “You’re The Inspiration”

Subscribe to NFL: http://j.mp/1L0bVBu

Start your free trial of NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342

Sign up for Fantasy Football! http://www.nfl.com/fantasyfootball

The NFL YouTube channel is your home for immediate in-game highlights from your favorite teams and players, full NFL games, behind the scenes access and more!

Check out our other channels:
NFL Network http://www.youtube.com/nflnetwork
NFL Films http://www.youtube.com/nflfilms

For all things NFL, visit the league's official website at http://www.nfl.com/

Watch NFL Now: https://www.nfl.com/now
Listen to NFL podcasts: http://www.nfl.com/podcasts
Watch the NFL network: http://nflnonline.nfl.com/
Download the NFL mobile app: https://www.nfl.com/apps
2016 NFL Schedule: http://www.nfl.com/schedules
Buy tickets to watch your favorite team:  http://www.nfl.com/tickets
Shop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-Tab

Like us on Facebook: https://www.facebook.com/NFL
Follow us on Twitter: https://twitter.com/NFL
Follow us on Instagram: https://instagram.com/nfl/",https://i.ytimg.com/vi/9csH_Hy-7A4/sddefault.jpg,NFL,17.0,15,compound,0.9801
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,https://www.youtube.com/watch?v=-gTWA5AsTP8,True,True,False,False,True,True,True,-gTWA5AsTP8,youtube#video,21rIALjfdTQYX5Qb7o4-6w2ANzU,8990.0,29.0,0.0,0.0,3.0,2008-02-01T00:07:51Z,Bud Light Cockato ad,Funny as budd light,,PastaChefPictures,23.0,16,compound,0.4404
2009,Pepsi,https://superbowl-ads.com/2009-pepsi-max-im-good/,https://www.youtube.com/watch?v=qUZaSf7T7ig,True,False,False,False,True,False,False,qUZaSf7T7ig,youtube#video,N1MkFXKysCWQZTsLR3u4vxDUfuo,129399.0,345.0,12.0,0.0,42.0,2009-02-02T01:09:13Z,Pepsi Max - I'm Good Super Bowl XLIII Commercial 2009,"Pepsi Max - I'm Good
Super Bowl XLIII Commercial 2009

Honors:
2/2/09
#79 - Most Viewed (Today) - Comedy - Canada",,reggiep08v2,23.0,17,compound,0.9163
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,https://www.youtube.com/watch?v=mjN3OY9Eefk,True,True,False,False,False,True,True,mjN3OY9Eefk,youtube#video,xGxW4TQMeg_h4QIxQADQaFk9FYQ,3739.0,115.0,1.0,0.0,59.0,2014-02-21T23:23:43Z,Frank the Monkey Bud Light,"I don't own the rights of this commercial, enjoy it",https://i.ytimg.com/vi/mjN3OY9Eefk/sddefault.jpg,Richard jrr.,23.0,18,compound,0.4939
2020,Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,https://www.youtube.com/watch?v=6xVnq31Vk8Y,True,True,False,True,True,True,False,6xVnq31Vk8Y,youtube#video,W8qRERQWe-bE_i8EswcP_ZRsqyo,1990447.0,10717.0,576.0,0.0,319.0,2020-01-29T17:28:54Z,"Doritos Super Bowl Commercial 2020 Lil Nas X, Sam Elliott The Cool Ranch","Doritos Super Bowl Commercial 2020 Lil Nas X, Sam Elliott The Cool Ranch Here is the commercial of Doritos for Super Bowl 2020. Lil Nas X and Sam Elliott have played in Super Bowl commercial of Doritos. It is one of the most popular advertiser of Big Game 2020. You can see the full verison of Doritos Super Bowl commercial 2020 featuring Sam Elliott and Lil Nas X. Doritos made a funny commercial for Super Bowl 2020 song by Lil Nas X - Old Town Road.


Doritos Super Bowl Commercial 2020


#doritossuperbowlcommercial
#superbowlcommercial2020


https://www.youtube.com/channel/UC_TmqZk7bYEWin22uHGRT9w",https://i.ytimg.com/vi/6xVnq31Vk8Y/sddefault.jpg,Commercials Funny,1.0,19,compound,0.9873
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,https://www.youtube.com/watch?v=aOfRpCp6Pgw,True,True,False,False,True,False,False,aOfRpCp6Pgw,youtube#video,yMYg7XcZg0_qfZ-XFzGMk7_u7A8,72997.0,86.0,30.0,0.0,33.0,2008-09-06T18:41:39Z,Bud Light Slap,Super Bowl XLI Bud Light Commercial..Bud Light Slap...,,Rowmon42,23.0,20,compound,0.5994
2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,https://www.youtube.com/watch?v=Ozb_fJB_z6o,False,True,False,True,False,False,False,Ozb_fJB_z6o,youtube#video,IIag9pAYBMTTCiYKiVseTuPZVSc,29219.0,146.0,38.0,0.0,29.0,2020-01-30T18:32:01Z,Pepsi | Zero Sugar | SuperBowl Commercials 2020,"Pepsi provoca a Coca-Cola en su anuncio de la SuperBowl 2020.

👉Los mejores anuncios de la SuperBowl 2020: https://tinyurl.com/sh4l8ze
👉 Suscríbete a nuestro canal: https://tinyurl.com/wfeqm72

📍 Twitter https://twitter.com/telling_things 
📍 Instagram https://www.instagram.com/telling_things/

#SuperBowlCommercials #SuperBowl #Pepsi",https://i.ytimg.com/vi/Ozb_fJB_z6o/sddefault.jpg,Telling Things,24.0,21,compound,0.0
2019,Hynudai,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/,https://www.youtube.com/watch?v=6mfJ0EsqLWs,True,False,True,True,False,False,False,6mfJ0EsqLWs,youtube#video,sGuPl2nEq364Qc_Jfrv3le7CBzI,38968.0,216.0,15.0,0.0,0.0,2019-01-30T15:31:08Z,Ad Meter 2019: Hyundai,"Jason Bateman stars in Hyundai's new Super Bowl ad which reminds us that there are plenty of unpleasant moments in life, but car buying doesn't have to be one. https:///
USA TODAY Super Bowl Ad Meter 2019 https:///  
Watch other Super Bowl Ads here: http://bit.ly/2UEjBqo
#AdMeter #AdMeter2019",https://i.ytimg.com/vi/6mfJ0EsqLWs/sddefault.jpg,USA TODAY,25.0,22,compound,0.9201
2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/,https://www.youtube.com/watch?v=ukpnHh4eEeQ,False,True,True,False,False,True,False,ukpnHh4eEeQ,youtube#video,XSDCJ2fIvr8DTCyV1HM_Mha-lFw,302143.0,527.0,15.0,0.0,36.0,2009-02-02T02:09:00Z,Budweiser - Clydesdale Generations Super Bowl XLIII Commercial 2009,"A modern day Clydesdale reflects on his ancestry.

Budweiser Super Bowl XLIII Commercial

Honors:
2/2/09
#6 - Most Viewed (Today) - Comedy - Australia
#16 - Most Viewed (Today) - Comedy - Canada
#76 - Most Viewed (Today) - Comedy - United Kingdom
#78 - Most Viewed (Today) - Comedy - Ireland
#75 - Most Viewed (Today) - Comedy - India
#22 - Most Viewed (Today) - Comedy - New Zealand
#20 - Most Viewed (Today) - Comedy
#88 - Most Viewed (Today) - Comedy - Mexico
#45 - Most Viewed (Today) - Comedy - South Korea
#69 - Most Viewed (Today) - Comedy - Hong Kong
#33 - Top Favorited (Today) - Comedy",,reggiep08v2,23.0,23,compound,0.9911
2011,Kia,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/,https://www.youtube.com/watch?v=8FMU5yPZgwM,True,True,False,False,True,False,True,8FMU5yPZgwM,youtube#video,6s03G781CUbWXN0ddpMkye6rUo0,36832.0,200.0,7.0,0.0,12.0,2011-02-04T18:09:52Z,Kia Optima - One Epic Ride,"This may be the American advert, but still a great way to showcase the future of Kia cars with the Optima",https://i.ytimg.com/vi/8FMU5yPZgwM/sddefault.jpg,Hendy Group,2.0,24,compound,-0.0387
2019,Doritos,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/,https://www.youtube.com/watch?v=NvIcPAxZ39o,False,True,False,True,False,False,False,NvIcPAxZ39o,youtube#video,SCsSXxcBeks0g-UmBWpThHpPvuc,41828.0,683.0,14.0,0.0,46.0,2019-02-01T11:29:06Z,Doritos Super Bowl commercial with Chance the Rapper & Backstreet Boys,,https://i.ytimg.com/vi/NvIcPAxZ39o/sddefault.jpg,PatriotsNation,22.0,25,compound,0.0
2019,Pepsi,https://superbowl-ads.com/2019-pepsi-more-than-ok/,https://www.youtube.com/watch?v=64UH1_D95gQ,True,True,False,True,False,False,True,64UH1_D95gQ,youtube#video,XjMZdcvwA9VXVWfSFDrVhv3YKpQ,69050.0,773.0,37.0,0.0,65.0,2019-01-29T16:36:29Z,Pepsi: More Than OK,"Credits: https://goo.gl/iYnmKV
Join Us:
Facebook: https://www.facebook.com/aobpage/
Twitter: https://twitter.com/adsofbrands
Pinterest: https://www.pinterest.com/adsofbrands/
Instagram: https://www.instagram.com/adsofbrands/
Linkedin: https://www.linkedin.com/company/adsofbrands/",https://i.ytimg.com/vi/64UH1_D95gQ/sddefault.jpg,Ads of Brands,24.0,26,compound,0.5719
2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,https://www.youtube.com/watch?v=WTf0XGpINJI,True,True,False,False,True,True,False,WTf0XGpINJI,youtube#video,ZOAfGKG86kCX2g9xaGNJ9NQtbJQ,4302.0,22.0,0.0,0.0,2.0,2015-04-09T09:41:58Z,Hyundai Sonata Turbo Super Bowl Commercial 2013,,https://i.ytimg.com/vi/WTf0XGpINJI/sddefault.jpg,Hyundai Omsk Official,22.0,27,compound,0.0
2019,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,https://www.youtube.com/watch?v=sl8ooTIMk2w,True,True,False,True,False,False,False,sl8ooTIMk2w,youtube#video,N4CdVrtuZUygK9qf9M0txMQF46A,77720.0,680.0,15.0,0.0,82.0,2019-02-04T01:29:56Z,Ad Meter 2019: NFL,"The NFL celebrates 100 years and the first female player in this 2019 Super Bowl ad. 
USA TODAY Super Bowl Ad Meter 2019 https:///  
Watch other Super Bowl Ads here: http://bit.ly/2UEjBqo
#AdMeter #AdMeter2019",,USA TODAY,25.0,28,compound,0.9468
2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-border/,https://www.youtube.com/watch?v=Aw6-aXMBseo,False,False,False,False,False,False,False,Aw6-aXMBseo,youtube#video,4iKJaMgGAuyc5NM7x6JpWcr-cPI,113771.0,235.0,8.0,0.0,29.0,2011-02-07T01:08:44Z,Coca-Cola Border SUPER BOWL COMMERCIAL 2011, ,,Sammy 2Times,24.0,29,compound,0.0
2019,Pepsi,https://superbowl-ads.com/2019-pepsi-bubly-buble/,https://www.youtube.com/watch?v=I-_Uh-vZXgo,True,True,False,True,False,False,False,I-_Uh-vZXgo,youtube#video,P0LBkgvufopyfNnRKiXvewJXR6Q,128792.0,961.0,15.0,0.0,35.0,2019-02-01T11:29:56Z,Michael Buble vs Bubly Super Bowl 2019 Commercial,Visit our site: http://www.super-bowl-commercials.com,https://i.ytimg.com/vi/I-_Uh-vZXgo/sddefault.jpg,PatriotsNation,22.0,30,compound,0.0
2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0,True,False,False,False,True,True,False,r_kXSO9Cph0,youtube#video,jzkvk_Q0W9MnMtHci7TmkuaEApI,5049.0,40.0,3.0,0.0,1.0,2016-02-01T17:25:21Z,Super Bowl 2016: Hyundai Chase Ad,"Technology can get you out of a jam, in this Super Bowl ad for Hyundai. 
Don’t miss a WSJ video, subscribe here: http://bit.ly/14Q81Xy

More from the Wall Street Journal: 
Visit WSJ.com: http://www.wsj.com
Visit the WSJ Video Center: https://wsj.com/video

On Facebook: https://www.facebook.com/pg/wsj/videos/
On Twitter: https://twitter.com/WSJ
On Snapchat: https://on.wsj.com/2ratjSM",https://i.ytimg.com/vi/r_kXSO9Cph0/sddefault.jpg,Wall Street Journal,24.0,31,compound,0.6155
2010,Bud Light,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=zE7wyUmsM0k,True,False,False,False,False,False,False,zE7wyUmsM0k,youtube#video,H43QxzbOmuW-5UWT4OtCdf_g5qc,85454.0,120.0,3.0,0.0,24.0,2010-02-08T06:10:42Z,Bud Light Stranded Super Bowl Commercial 2010,"Bud Light  ""LOST"" parody Super Bowl Commercial 2010

My MySpace:
http://www.myspace.com/ebayneatstuff2008",,MistahSparkles70,24.0,32,compound,0.5994
2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA,True,True,False,False,False,True,False,Muyq2kMDFoA,youtube#video,qUhlkwZjt1ean0daUEMw9V-I10E,9036.0,51.0,2.0,0.0,7.0,2018-02-10T11:23:48Z,"E*TRADE - Monkey (2000, USA)","""How would you waste $2 million on the Super Bowl?"" was was popped into the heads of the creatives behind this unusually groundbreaking Superbowl ad that lampooned the excessive cost and scope of advertising during a specific game. After hesitation, the agency and the company bought it, and it went on to receive a bunch of awards and recognition as one of the greatest Superbowl commercials of all time. Directed by Bryan Buckley at Hungry Man.",,The Hall of Advertising,23.0,33,compound,0.802
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,True,True,False,False,False,True,False,XJEYIR-Cai4,youtube#video,3Psgy5keyXOQ8mA6p4CsYlmBAIM,2801.0,9.0,0.0,0.0,1.0,2012-08-13T22:25:04Z,Bud Light Commercial from 2001 Otto the Obese Dog,An old commercial for Bud Light Beer from 2001 with Otto the Obese Dog.,,OldCommercials4u2,24.0,34,compound,0.0
2018,Doritos,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,https://www.youtube.com/watch?v=rZh_CbcVe7M,True,True,False,True,False,False,False,rZh_CbcVe7M,youtube#video,BGW9k2HmdAF6FJY4u4FArAQa4Aw,23327.0,333.0,6.0,0.0,16.0,2018-02-01T07:35:24Z,Doritos Blaze VS Mountain Dew 2018 Super Bowl Commercial - Morgan Freeman,"Doritos Blaze VS Mountain Dew 2018 Super Bowl Commercial - Morgan Freeman
Please Like,Comment, and SUBSCRIBE!!",https://i.ytimg.com/vi/rZh_CbcVe7M/sddefault.jpg,2 Face,24.0,35,compound,0.8585
